"input" "reason" "matches" "symbol" "organism.name" "secondaryIdentifier" "primaryIdentifier" "class" "briefDescription"
"WBGene00006710" "MATCH" "1" "ubc-15" "Caenorhabditis elegans" "Y110A2AR.2" "WBGene00006710" "Gene" "ubc-15 encodes an E2 ubiquitin-conjugating enzyme predicted to mediate the covalent attachment of an activated ubiquityl moiety to a substrate protein; as loss of UBC-15 activity via RNA-mediated interference (RNAi) does not result in any abnormalities, the precise role of UBC-15 in C. elegans development and/or behavior is not yet known; by sequence similarity, however, UBC-15 is predicted to function in protein modification and turnover."
"WBGene00007248" "MATCH" "1" "catp-4" "Caenorhabditis elegans" "C01G12.8" "WBGene00007248" "Gene" ""
"WBGene00018837" "MATCH" "1" "F54G2.1" "Caenorhabditis elegans" "F54G2.1" "WBGene00018837" "Gene" ""
"WBGene00012855" "MATCH" "1" "Y44A6D.5" "Caenorhabditis elegans" "Y44A6D.5" "WBGene00012855" "Gene" ""
"WBGene00014114" "MATCH" "1" "tftc-3" "Caenorhabditis elegans" "ZK856.13" "WBGene00014114" "Gene" ""
"WBGene00019259" "MATCH" "1" "H34C03.2" "Caenorhabditis elegans" "H34C03.2" "WBGene00019259" "Gene" ""
"WBGene00001817" "MATCH" "1" "haf-7" "Caenorhabditis elegans" "Y50E8A.16" "WBGene00001817" "Gene" ""
"WBGene00001813" "MATCH" "1" "haf-3" "Caenorhabditis elegans" "F57A10.3" "WBGene00001813" "Gene" "haf-3 encodes a member of the ABC transporter family with highest similarity to human ABCB10."
"WBGene00017075" "MATCH" "1" "nap-1" "Caenorhabditis elegans" "D2096.8" "WBGene00017075" "Gene" "D2096.8 encodes a protein related in sequence to the conserved NAP (Nucleosome Assembly Protein) family of proteins involved in chromatin remodeling; loss of D2096.8 activity in wild-type and various mutant backgrounds suggests that, in C. elegans, the product of D2096.8 is required for proper transcriptional regulation that affects a number of biological processes including embryonic and larval development, body morphology, locomotion, and vulval formation; the protein product of D2096.8 is present at significantly lower levels in daf-2 mutant vs. wild-type adult animals during a temperature shift from 15 to 25 degrees C."
"WBGene00009691" "MATCH" "1" "F44E5.4" "Caenorhabditis elegans" "F44E5.4" "WBGene00009691" "Gene" "F44E5.4 encodes a member of the Hsp70 family of heat shock proteins; as loss of F44E5.4 activity via large-scale RNAi screens results in no obvious defects, the precise role of F44E5.4 in C. elegans development and/or behavior is not yet known."
"WBGene00009692" "MATCH" "1" "F44E5.5" "Caenorhabditis elegans" "F44E5.5" "WBGene00009692" "Gene" "F44E5.5 encodes a member of the Hsp70 family of heat shock proteins; as loss of F44E5.5 activity via large-scale RNAi screens results in no obvious defects, the precise role of F44E5.5 in C. elegans development and/or behavior is not yet known."
"WBGene00015691" "MATCH" "1" "viln-1" "Caenorhabditis elegans" "C10H11.1" "WBGene00015691" "Gene" ""
"WBGene00006708" "MATCH" "1" "ubc-13" "Caenorhabditis elegans" "Y54G2A.31" "WBGene00006708" "Gene" "ubc-13 encodes an E2 ubiquitin-conjugating enzyme; by homology, UBC-13 is predicted to function in the covalent attachment of ubiquitin molecules to protein substrates, via its association with an E3 ubiquitin-protein ligase; UBC-13 physically interacts with the UEV-1 ubiquitin-conjugating enzyme variant, and like UEV-1, ubc-13 mutations result in defects in GLR-1 glutamate receptor trafficking and hence, abnormal locomotory behavior; in large-scale RNAi screens, loss of ubc-13 activity also results in embryonic lethality and reduced brood size."
"WBGene00001137" "MATCH" "1" "eat-6" "Caenorhabditis elegans" "B0365.3" "WBGene00001137" "Gene" "eat-6 encodes an ortholog of the alpha subunit of a sodium/potassium ATPase, which in turn affects Na+,K(+)-ATPase activity of membranes by affecting the level of the phosphorylated intermediate of the Na+,K(+)-ATPase; EAT-6 affects relaxation of the pharyngeal muscles, fertility (and thus affects feeding); EAT-6 also affects body length, life span, and ASE, ASI and ASJ axonal outgrowth."
"WBGene00020471" "MATCH" "1" "pho-14" "Caenorhabditis elegans" "T13B5.3" "WBGene00020471" "Gene" ""
"WBGene00022770" "MATCH" "1" "acp-1" "Caenorhabditis elegans" "ZK563.6" "WBGene00022770" "Gene" ""
"WBGene00002229" "MATCH" "1" "klp-19" "Caenorhabditis elegans" "Y43F4B.6" "WBGene00002229" "Gene" "klp-19 encodes a plus-end-directed microtubule motor protein that is most closely related to motors of the kinesin-4 family; KLP-19 activity is essential for embryonic and larval development and is required for generating a force that aligns sister chromatid kinetochores  directly opposite the spindle poles thus ensuring proper holocentric chromosome segregation; KLP-19 expression is detected in embryos and in the gonad, where it is most strongly expressed in distal mitotic nuclei and in late meiotic prophase nucleoplasm; during meiosis and mitosis, KLP-19 expression is dynamic and is detected in the nucleoplasm, the spindle body, in association with condensed chromosomes (particularly between homologous chromosomes), and in the spindle interzone."
"WBGene00001811" "MATCH" "1" "haf-1" "Caenorhabditis elegans" "C30H6.6" "WBGene00001811" "Gene" "haf-1 encodes a transmembrane protein that is a member of the ATP-binding cassette (ABC) transporter superfamily; HAF-1 transporter activity is required for peptide transport and functions as part of the mitochondrial unfolded protein response (UPRmt) signaling pathway; as part of the UPRmt, HAF-1 functions upstream of the ATFS-1 bZip transcription factor that partitions between the mitochondrion, where it is degraded under normal conditions, and the nucleus, where it localizes in response to the UPRmt; HAF-1 localizes to the the inner mitochondrial membrane."
"WBGene00002223" "MATCH" "1" "klp-12" "Caenorhabditis elegans" "T01G1.1" "WBGene00002223" "Gene" ""
"WBGene00006700" "MATCH" "1" "uba-2" "Caenorhabditis elegans" "W02A11.4" "WBGene00006700" "Gene" "uba-2 encodes the C. elegans ortholog of Saccharomyces cerevisiae Uba2p and human ubiquitin-like 2 activating enzyme E1B; by homology, UBA-2 is predicted to form, with a regulatory subunit, AOS-1, a heterodimeric enzyme that activates the ubiquitin-like protein SMO-1/SUMO in preparation for its covalent attachment to target proteins to regulate their subcellular localization and/or stability; in C. elegans, UBA-2 is required for embryogenesis and vulval development, as well as for proper Hox gene regulation; uba-2/aos-1(RNAi) animals that survive embryogenesis show ectopic expression of EGL-5 and ectopic anterior sensory ray formation."
"WBGene00013914" "MATCH" "1" "lgc-37" "Caenorhabditis elegans" "ZC482.5" "WBGene00013914" "Gene" "ZC482.5 is orthologous to the human gene GAMMA-AMINOBUTYRIC ACID A RECEPTOR GAMMA 2 (GABRG2; OMIM:137164), which when mutated leads to disease."
"WBGene00016508" "MATCH" "1" "C37H5.5" "Caenorhabditis elegans" "C37H5.5" "WBGene00016508" "Gene" ""
"WBGene00016626" "MATCH" "1" "clhm-1" "Caenorhabditis elegans" "C44B7.4" "WBGene00016626" "Gene" "clhm-1 encodes a calcium ion channel; clhm-1 is required for normal locomotion; when expressed in Xenopus oocytes, CLHM-1 localizes to the plasma membrane and produces voltage-dependent, outwardly rectifying currents; in C. elegans, CLHM-1 is expressed in sensory neurons and muscles where it localizes to the plasma membrane, including the ciliary membrane."
"WBGene00011055" "MATCH" "1" "arrd-14" "Caenorhabditis elegans" "R06B9.4" "WBGene00011055" "Gene" ""
"WBGene00011732" "MATCH" "1" "arrd-17" "Caenorhabditis elegans" "T12D8.4" "WBGene00011732" "Gene" ""
"WBGene00045192" "MATCH" "1" "aho-3" "Caenorhabditis elegans" "K04G2.2" "WBGene00045192" "Gene" "aho-3 encodes a hydrolase; aho-3 is required for temperature preference, a learning-like behavior associating feeding conditions with temperatures; while normal C. elegans thermotax away from those temperatures at which they have been starved for 1 hour, aho-3(nj15) mutants fail to show this connection of temperature preference to recent starvation; although aho-3(nj15) mutants fail to show correct temperature preferences at 25 deg. C., they are phenotypically normal at 17 deg. C.; aho-3(nj15) mutants display normal chemotaxis to sodium, avoidance of copper, and olfaction, but are defective in male mating."
"WBGene00013360" "MATCH" "1" "tmed-4" "Caenorhabditis elegans" "Y60A3A.9" "WBGene00013360" "Gene" ""
"WBGene00001609" "MATCH" "1" "glp-1" "Caenorhabditis elegans" "F02A9.6" "WBGene00001609" "Gene" "glp-1 encodes an N-glycosylated transmembrane protein that, along with LIN-12, comprises one of two C. elegans members of the LIN-12/Notch family of receptors; from the N- to the C-terminus, GLP-1 is characterized by ten extracellular EGF-like repeats, three LIN-12/Notch repeats, a CC-linker, a transmembrane domain, a RAM domain, six intracellular ankyrin repeats, and a PEST sequence; in C. elegans, GLP-1 activity is required for cell fate specification in germline and somatic tissues; in the germline, GLP-1, acting as a receptor for the DSL family ligand LAG-2, is essential for mitotic proliferation of germ cells and maintenance of germline stem cells; in somatic tissues, maternally provided GLP-1, acting as a receptor for the DSL family ligand APX-1, is required for inductive interactions that specify the fates of certain embryonic blastomeres; GLP-1 is also required for some later embryonic cell fate decisions, and in these decisions its activity is functionally redundant with that of LIN-12; GLP-1 expression is regulated temporally and spatially via translational control, as GLP-1 mRNA, present ubiquitously in the germline and embryo, yields detectable protein solely in lateral, interior, and endomembranes of distal, mitotic germ cells, and then predominantly in the AB blastomere and its descendants in the early embryo; proper spatial translation of glp-1 mRNA in the embryo is dependent upon genes such as the par genes, that are required for normal anterior-posterior asymmetry in the early embryo; signaling through GLP-1 controls the activity of the downstream Notch pathway components LAG-3 and LAG-1, the latter being predicted to function as part of a transcriptional feedback mechanism that positively regulates GLP-1 expression; signaling through the DNA-binding protein LAG-1 is believed to involve a direct interaction between LAG-1 and the GLP-1 RAM and ankyrin domains"
"WBGene00017284" "MATCH" "1" "sec-6" "Caenorhabditis elegans" "F09E5.5" "WBGene00017284" "Gene" ""
"WBGene00022501" "MATCH" "1" "ZC8.6" "Caenorhabditis elegans" "ZC8.6" "WBGene00022501" "Gene" ""
"WBGene00010416" "MATCH" "1" "hxk-2" "Caenorhabditis elegans" "H25P06.1" "WBGene00010416" "Gene" ""
"WBGene00021546" "MATCH" "1" "laat-1" "Caenorhabditis elegans" "Y43H11AL.2" "WBGene00021546" "Gene" ""
"WBGene00001834" "MATCH" "1" "hda-1" "Caenorhabditis elegans" "C53A5.3" "WBGene00001834" "Gene" "The hda-1 gene encodes a histone deacetylase 1, similar to histone deacetylases RPD3 from yeast and fly; maternal and zygotic expression of hda-1 is required for embryonic viability, and zygotic expression of hda-1 is also required for gonadogenesis and vulval development."
"WBGene00001836" "MATCH" "1" "hda-3" "Caenorhabditis elegans" "R06C1.1" "WBGene00001836" "Gene" "hda-3 encodes a member of the histone deacetylase family most similar to human histone deacetylase 1 (HD1) that affects radiation sensitivity."
"WBGene00006727" "MATCH" "1" "ubq-1" "Caenorhabditis elegans" "F25B5.4" "WBGene00006727" "Gene" ""
"WBGene00002007" "MATCH" "1" "hsp-3" "Caenorhabditis elegans" "C15H9.6" "WBGene00002007" "Gene" "hsp-3 encodes one of two C. elegans heat shock response 70 (hsp70) proteins homologous to mammalian grp78/BiP (glucose regulated protein 78/immunoglobulin heavy chain-binding protein, OMIM:138120); HSP-3 likely functions as a molecular chaperone, and is expressed constitutively (expression is not heat inducible) throughout development with greatest abundance during the L1 larval stage; hsp-3 transcription is, however, upregulated in response to endoplasmic reticulum stress induced by dithiothreitol (DTT) or tunicamycin; HSP-3 contains a long hydrophobic amino terminus and a carboxyl terminal KDEL sequence suggesting that it may be retained in the endoplasmic reticulum."
"WBGene00002008" "MATCH" "1" "hsp-4" "Caenorhabditis elegans" "F43E2.8" "WBGene00002008" "Gene" "hsp-4 encodes one of two C. elegans heat shock response 70 (hsp70) proteins homologous to mammalian grp78/BiP (glucose regulated protein 78/immunoglobulin heavy chain-binding protein, OMIM:138120); hsp-4 affects embryonic and larval viability; hsp-4 is expressed in several tissues including the hypodermis, intestine, and spermatheca; hsp-4 transcription is upregulated in response to endoplasmic reticulum stress induced by dithiothreitol (DTT) or tunicamycin (unfolded protein response) as well as in response to heat shock and treatment of animals with pore-forming toxins such as Cry5B."
"WBGene00020693" "MATCH" "1" "lron-8" "Caenorhabditis elegans" "T22E7.1" "WBGene00020693" "Gene" ""
"WBGene00021423" "MATCH" "1" "tftc-1" "Caenorhabditis elegans" "Y38F2AR.5" "WBGene00021423" "Gene" ""
"WBGene00002005" "MATCH" "1" "hsp-1" "Caenorhabditis elegans" "F26D10.3" "WBGene00002005" "Gene" "hsp-1 encodes hsp70A, a member of the heat shock family of proteins; hsp70A is closely related to the Drosophila heat inducible hsp70s and the S. cerevisiae SSA hsp70 subfamily; the hsp-1 gene is normally expressed throughout development and upon heat-shock the hsp-1 mRNA is enhanced 2-6 fold; down-regulation of hsp-1 via RNA interference results in a small reduction in the life-span of an age-1 mutant indicating that hsp-1 may play some role in regulating longevity."
"WBGene00004221" "MATCH" "1" "ptr-6" "Caenorhabditis elegans" "C54A12.1" "WBGene00004221" "Gene" "ptr-6 encodes an ortholog of Drosophila and human PTCHD3, which definesone of seven paralogous families of sterol sensing domain (SSD)proteins; PTR-6 is weakly required for normal molting from L4 to adultstages; however, PTR-6 in conjunction with PTR-1 and PTR-10 is stronglyrequired for both molting and viability, with triple ptr-1/-6/-10 RNAianimals showing pronounced molting defects and lethality; PTR-6 is alsorequired for normal growth to full size and locomotion."
"WBGene00004220" "MATCH" "1" "ptr-5" "Caenorhabditis elegans" "C53C11.3" "WBGene00004220" "Gene" "ptr-5 encodes a nematode-specific member of the sterol sensing domain(SSD) proteins, distantly paralogous to Drosophila PATCHED (PTC) andhuman PTCH (OMIM:601309, mutated in basal cell nevus syndrome); PTR-5 isweakly required for normal molting from L4 to adult stages; PTR-5 isalso required for normal growth to full size and locomotion; PTR-5 isexpressed in head and tail neurons, and in ventral nerve cord."
"WBGene00004223" "MATCH" "1" "ptr-9" "Caenorhabditis elegans" "F54G8.5" "WBGene00004223" "Gene" "ptr-9 encodes an ortholog of Drosophila and human PTCHD3, which definesone of seven paralogous families of sterol sensing domain (SSD)proteins; PTR-9 is required for normal development in mass RNAiassays."
"WBGene00004222" "MATCH" "1" "ptr-8" "Caenorhabditis elegans" "F44F4.4" "WBGene00004222" "Gene" "ptr-8 encodes a nematode-specific member of the sterol sensing domain(SSD) proteins, distantly paralogous to Drosophila PATCHED (PTC) andhuman PTCH (OMIM:601309, mutated in basal cell nevus syndrome); PTR-8 isweakly required for normal molting from L4 to adult stages; PTR-8 isalso required for normal growth to full size and locomotion; PTR-8 isexpressed in hypodermis."
"WBGene00010349" "MATCH" "1" "dyf-18" "Caenorhabditis elegans" "H01G02.2" "WBGene00010349" "Gene" ""
"WBGene00022450" "MATCH" "1" "ubc-26" "Caenorhabditis elegans" "Y110A2AM.3" "WBGene00022450" "Gene" ""
"WBGene00004460" "MATCH" "1" "rpn-3" "Caenorhabditis elegans" "C30C11.2" "WBGene00004460" "Gene" ""
"WBGene00015124" "MATCH" "1" "anmt-1" "Caenorhabditis elegans" "B0303.2" "WBGene00015124" "Gene" ""
"WBGene00018995" "MATCH" "1" "ccpp-1" "Caenorhabditis elegans" "F56H1.5" "WBGene00018995" "Gene" "ccpp-1 encodes a putative ATP/ADP-activated metallocarboxypeptidase that may function in vivo as an alpha-tubulin C-terminal tyrosine carboxypeptidase; CCPP-1 is orthologous to murine AGTPBP-1/Nna1/pcd (upregulated in damaged mouse spinal cord and mutated in Purkinje cell degeneration) and human AGTPBP1 (OMIM:606830); murine AGTPBP-1 is genetically required for tubulin carboxypeptidase activity in vivo, and CCPP-1's nearest paralog CCPP-6 has biochemical traits consistent with tubulin carboxypeptidase activity; CCPP-1 and its mammalian AGTPBP1 orthologs, along with other proteins, comprise a M14D3 peptidase subfamily."
"WBGene00003921" "MATCH" "1" "par-6" "Caenorhabditis elegans" "T26E3.3" "WBGene00003921" "Gene" "par-6 encodes a PDZ-domain-containing protein that is conserved in Drosophila and mammals; during development, maternally provided PAR-6 is required for establishing anterior-posterior polarity in the early C. elegans embryo; par-6 activity is also essential for determining proper apicobasal asymmetries associated with cell adhesion and gastrulation; PAR-6 localizes to the periphery of the newly fertilized embryo, and then becomes more prominent in the anterior periphery as well as the advancing cleavage furrow during the first mitosis; in germline precursors, PAR-6 localizes asymmetrically to sites that correspond to the future EMS and C blastomeres; in somatic cells, by the end of the four-cell stage, PAR-6 is seen as a 'cap' centered on the apical surface; in embryos, PAR-6 colocalizes with PAR-3 and is mutually dependent upon PAR-3 and PKC-3 for proper localization, suggesting that these proteins may act in a complex to establish embryonic polarity; PAR-6 localization is also dependent upon wild-type activity of par-4."
"WBGene00004218" "MATCH" "1" "ptr-3" "Caenorhabditis elegans" "C41D7.2" "WBGene00004218" "Gene" "ptr-3 encodes a nematode-specific member of the sterol sensing domain(SSD) proteins, distantly paralogous to Drosophila PATCHED (PTC) andhuman PTCH (OMIM:601309, mutated in basal cell nevus syndrome); PTR-3 isweakly required for normal molting from L4 to adult stages; PTR-3 isalso required for normal adult alae formation, growth to full size, andvulval morphogenesis."
"WBGene00004217" "MATCH" "1" "ptr-2" "Caenorhabditis elegans" "C32E8.8" "WBGene00004217" "Gene" "ptr-2 encodes an ortholog of Drosophila and human PTCHD3, which definesone of seven paralogous families of sterol sensing domain (SSD)proteins; PTR-2 is required for cytokinesis in somatic cells, but not inthe germline (the converse of PTC-1's function); PTR-2 is partiallyrequired for normal molting from L4 to adult stages; PTR-2 is alsorequired for normal male tail development, growth to full size,locomotion, and viability."
"WBGene00007849" "MATCH" "1" "tbc-19" "Caenorhabditis elegans" "C31E10.8" "WBGene00007849" "Gene" ""
"WBGene00004219" "MATCH" "1" "ptr-4" "Caenorhabditis elegans" "C45B2.7" "WBGene00004219" "Gene" "ptr-4 encodes a nematode-specific member of the sterol sensing domain(SSD) proteins, distantly paralogous to Drosophila PATCHED (PTC) andhuman PTCH (OMIM:601309, mutated in basal cell nevus syndrome); PTR-4 isstrongly required for normal molting from L4 to adult stages male taildevelopment (a role conserved in C. briggsae); PTR-4 is also requiredfor normal endocytosis of yolk by oocytes, adult alae formation, growthto full size, locomotion, and viability."
"WBGene00004216" "MATCH" "1" "ptr-1" "Caenorhabditis elegans" "C24B5.3" "WBGene00004216" "Gene" "ptr-1 encodes an ortholog of Drosophila and human PTCHD3, which definesone of seven paralogous families of sterol sensing domain (SSD)proteins; individually, PTR-1 is weakly required for normal molting fromL4 to adult stages; however, PTR-1, in conjunction with either PTR-16alone or with PTR-6 and PTR-10, is strongly required for both moltingand viability, with double ptr-1/-16 or triple ptr-1/-6/-10 RNAi animalsshowing pronounced molting defects and lethality; PTR-1 is also requiredfor normal adult alae formation, growth to full size, locomotion, andmale tail development."
"WBGene00002038" "MATCH" "1" "hum-5" "Caenorhabditis elegans" "T02C12.1" "WBGene00002038" "Gene" ""
"WBGene00013748" "MATCH" "1" "ssu-1" "Caenorhabditis elegans" "Y113G7A.11" "WBGene00013748" "Gene" "ssu-1 encodes, by alternative splicing, two isoforms of a cytosolicalcohol sulfotransferase that interacts in the ASJ amphid neurons with thestomatins UNC-1 and UNC-24; the longer SSU-1 isoform is required fornormal anesthetic sensitivity and unc-1 phenotypes; ssu-1(fc73) suppressesthe anesthetic sensitivity and uncoordinated phenotypes of unc-1 andunc-24 mutants; ssu-1(fc73), along with daf-12, suppresses the syntheticconstitutive dauer-formation phenotype of fc83;unc-24(e138) mutants; ssu-1suppression is rescued by transgenic expression of SSU-1 in the ASJneurons alone, implying that sulfation is required for an endocrinefunction; SSU-1 protein sulfates 4-nitrophenol and 2-naphthol substrates,and bisphenol A, but not monoamines or hydroxysteroids; SSU-1 iscytosolic, but its activity is not detectable in cytosolic extracts; ssu-1is strongly expressed in embryos, growing larvae, and dauer larvae; ssu-1expression is increased in daf-2; by homology with othersulfotransferases, SSU-1 may link sulfates to the alcohol group of smallmolecules as part of detoxification or signal transduction."
"WBGene00003001" "MATCH" "1" "lin-12" "Caenorhabditis elegans" "R107.8" "WBGene00003001" "Gene" "The lin-12 gene encodes a member of the Notch/LIN-12/glp-1 transmembrane receptor family that affects cell fate specification events during development, notably including the anchor cell, secondary vulval precursor cells, and the embryonic ABplp lineage; its expression is dynamic, including Z1.ppp and Z4.aaa, ABplaa descendants, ABplpa descendants, and the intestinal primordium."
"WBGene00003480" "MATCH" "1" "klf-3" "Caenorhabditis elegans" "F54H5.4" "WBGene00003480" "Gene" "klf-3 encodes a predicted transcription factor and xKLF homolog that affects cell matrix attachments that are critical for transmission of muscle contractions to the cuticle and for attachment of the uterus to the body wall, such that mutations result in paralysis of movement and prolapse of the uterus through the vulval opening, and many other secondary defects; its putative activation domain modestly activates transcription in COS cells and klf-3 expression is dynamic during development and includes the hypodermis, anterior pharynx, uv1, uv2, uv3, and utse cells of the uterus, and in the hypodermal nuclei bordering the seam."
"WBGene00002150" "MATCH" "1" "irk-2" "Caenorhabditis elegans" "M02A10.2" "WBGene00002150" "Gene" "irk-2 encodes an inwardly rectifying potassium channel based on sequence homology to the the human potassium channel genes KCNJ1/KCNJ2."
"WBGene00015801" "MATCH" "1" "C15H9.5" "Caenorhabditis elegans" "C15H9.5" "WBGene00015801" "Gene" ""
"WBGene00010593" "MATCH" "1" "gsnl-1" "Caenorhabditis elegans" "K06A4.3" "WBGene00010593" "Gene" "gsnl-1 encodes one of three C. elegans gelsolin-related proteins; GSNL-1 contains four gelsolin-like (G) domains; GSNL-1 is predicted to function in vivo as an actin regulatory protein and in vitro, demonstrates actin filament severing activity; GSNL-1 also exhibits calcium-dependent capping of the barbed ends of actin filaments and stays bound to the side of actin filaments; GSNL-1 additionally binds to G-actin."
"WBGene00018514" "MATCH" "1" "twnk-1" "Caenorhabditis elegans" "F46G11.1" "WBGene00018514" "Gene" "F46G11.1 is orthologous to the human gene TRUNCATED PUTATIVE T7-LIKE MITOCHONDRIAL DNA HELICASE (C10orf2; OMIM:606075), which when mutated leads to disease."
"WBGene00012776" "MATCH" "1" "Y42A5A.1" "Caenorhabditis elegans" "Y42A5A.1" "WBGene00012776" "Gene" ""
"WBGene00017427" "MATCH" "1" "acp-5" "Caenorhabditis elegans" "F13D11.1" "WBGene00017427" "Gene" ""
"WBGene00020831" "MATCH" "1" "T26C12.1" "Caenorhabditis elegans" "T26C12.1" "WBGene00020831" "Gene" ""
"WBGene00020712" "MATCH" "1" "ckr-1" "Caenorhabditis elegans" "T23B3.4" "WBGene00020712" "Gene" "T23B3.4 encodes a seven transmembrane receptor that is most closely related to the mammalian cholecystokinin receptors; loss of T23B3.4 activity via RNAi, either singly or in combination with another cholecystokinin receptor-encoding gene, Y39A3B.5, has no effect on fat metabolism, however large-scale RNAi screens have reported that T23B3.4(RNAi) results in embryonic lethality and reduced brood sizes; a T23B3.4::GFP reporter is expressed in a subset of nerve ring neurons."
"WBGene00014161" "MATCH" "1" "arrd-5" "Caenorhabditis elegans" "ZK938.4" "WBGene00014161" "Gene" ""
"WBGene00002149" "MATCH" "1" "irk-1" "Caenorhabditis elegans" "R03E9.4" "WBGene00002149" "Gene" ""
"WBGene00009256" "MATCH" "1" "tut-2" "Caenorhabditis elegans" "F29F11.3" "WBGene00009256" "Gene" ""
"WBGene00022696" "MATCH" "1" "ift-139" "Caenorhabditis elegans" "ZK328.7" "WBGene00022696" "Gene" ""
"WBGene00006869" "MATCH" "1" "vab-2" "Caenorhabditis elegans" "Y37E11AR.6" "WBGene00006869" "Gene" "The vab-2 gene encodes an ephrin molecule related to human ephrin B2 (OMIM:600527); VAB-2, expressed primarily in neuronal cells, is a ligand for the VAB-1 ephrin receptor and plays a role in embryonic cell movements, epidermal morphogenesis during later embryogenesis, and oocyte maturation; VAB-2 synergizes with PTP-3, a LAR-like receptor tyrosine phosphatase, to regulate morphogenesis."
"WBGene00008804" "MATCH" "1" "acp-4" "Caenorhabditis elegans" "F14E5.6" "WBGene00008804" "Gene" ""
"WBGene00021365" "MATCH" "1" "smgl-2" "Caenorhabditis elegans" "Y37E11AM.1" "WBGene00021365" "Gene" "smgl-2 encodes a DEAH helicase orthologous to the Drosophila CG12211 protein."
"WBGene00001056" "MATCH" "1" "dpf-3" "Caenorhabditis elegans" "K02F2.1" "WBGene00001056" "Gene" ""
